"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
FALSE,3,13,2014-10-21 13:59:35,2014-10-21 14:04:03,2014-10-21 14:04:19,16085.69,16085.46,0.35,447.58,447.66,855.87,16085.69,327.4069937246,318.3023164112,"$231C2B9C8C31C295C472D031E06964834B745996, $111C22F5B39EB002092CDFF5F727CC48BAFEFDBF, $D7C5AAE76F68CB378E8130475F306D68DC03E968, $D5252A8C6576CB49C8CDFC5DF1E2CF864603B76F"
FALSE,8,24,2014-10-21 14:20:26,2014-10-21 14:24:39,2014-10-21 14:25:15,35379.88,35381.15,0.32,456.29,456.38,1034.83,35379.88,146.6061698478,144.7163404753,"$E459E02374D0385D2E2515CBBE707EA208966BCF, $C28A81118AAC57F84CF76BEAA38AD13E8AA056FB, $D46ADA3721F12DD925FB87BECE84E488FC9D7FA8, $D64366987CB39F61AD21DBCF8142FA0577B92811"
FALSE,11,28,2014-10-21 14:24:40,2014-10-21 14:34:40,2014-10-21 14:35:03,22995.99,22997.17,18.48,292.94,293.04,529.29,22995.99,225.5214019407,222.8265812015,"$E459E02374D0385D2E2515CBBE707EA208966BCF, $D20C006330B8DE1BE4083A2B6BDE824BB69117E8, $B83DC1558F0D34353BB992EF93AFEAFDB226A73E, $80D73E75A30BEEF627604B7014753304764E0723"
FALSE,15,30,2014-10-21 14:34:40,2014-10-21 14:44:41,2014-10-21 14:44:51,9361.31,9362.38,0.31,348.45,348.54,696.79,9361.31,568.0829643319,546.9499980492,"$B324125957D0FDDF9824CFF1A7FEC96AA62EE188, $C3046EDC56BE43A5F6DA10D87DCDF9CD1AA34CA5, $2FF8784590F95244DA020D0A92AA7432BFB3BE63, $EC98311F9EC02BEAA183651CE8402249CD036D0A"
FALSE,18,32,2014-10-21 14:44:40,2014-10-21 14:54:41,2014-10-21 14:55:06,24060.59,24061.99,0.32,675.83,675.92,1180.36,24060.59,218.94689437,212.7989850031,"$C0A05D6DC0987D0BF32F0FF00A9BF791E7CA79D7, $29205547B6E8649B67A465B1CAE63D2EF2296A2C, $D51C1F3A39FB0BCA12D2795F67B1FA93A750218D, $AB217D85D0AC461E98E1270F5AE404E5FD8238C8"
FALSE,27,37,2014-10-21 15:04:52,2014-10-21 15:09:17,2014-10-21 15:09:31,13884.86,13885.97,0.34,353.87,354.33,653.89,13884.86,378.4034786057,368.755969431,"$9A9FE7C84BD21590CA4A0FC99DAC803C1F72E55D, $BB4EE9D9E88D38622D3F95F7DEC44999737ACD75, $90AB1CE329584D694E33D0C56E85C5639027D0BB, $AD9B580836C9942317E9B7664EC7B39075DEBB5B"
FALSE,29,39,2014-10-21 15:16:14,2014-10-21 15:19:17,2014-10-21 15:19:37,19580.95,19581.77,0.33,483.7,483.79,910.19,19580.95,268.1027066529,261.4829840904,"$18BE989663CF3351F73D33C672BB1C985E0EA5D0, $5C84C35936B7100B949AC75764EEF1352550550B, $A69221A7EC7498D2F88A0FB795261013FA36CAAE, $8741BDA82123E6B145E24FB4268233ACE198FC03"
FALSE,30,40,2014-10-21 15:19:18,2014-10-21 15:29:17,2014-10-21 15:31:05,107279.9,107281.42,0.31,421.19,421.3,715.01,107279.9,47.9137846512,47.725759416,"$18BE989663CF3351F73D33C672BB1C985E0EA5D0, $A5DEF08A1D6075453C6CB856B2F1FA4070D67ECF, $5F611F08EC4270DE0C69D42C03B66C8F170B5EE8, $D66CFC4F10979E20AD064C9D16444FCEC455B053"
FALSE,31,42,2014-10-21 15:29:18,2014-10-21 15:39:17,2014-10-21 15:39:53,35110.42,35112.14,0.33,480.39,480.48,814,35110.42,147.8489675398,145.8270588899,"$172DC95F3245A3304F982DD1C44BFB7813CE2787, $4F1BE400BF76433F2B1AC4A6132FE7332FDBB835, $42CF45E90486C5B83D9804D516287BF26C8D6BEC, $1EA968C956FBC00617655A35DA872D319E87C597"
FALSE,40,57,2014-10-21 16:01:42,2014-10-21 16:07:09,2014-10-21 16:07:47,37933.91,37935.01,0.29,685.17,685.26,1385.17,37933.91,137.4546607825,134.972646207,"$B198C0B4B8C551F174FBB841A172616E3DB3124D, $121ADF3C30928E4BBA28F22261E11FF76A11A79E, $97B867190D2A0387F3259EA65664A90884A8BDC4, $79CF377F0ACEC5F0002D85335E4192B34202A269"
FALSE,41,59,2014-10-21 16:09:58,2014-10-21 16:17:09,2014-10-21 16:17:23,13658.25,13659.52,0.3,398.99,399.09,749.53,13658.25,386.1479384804,374.8731565514,"$43D886BB08111FCBDBAF9487E50965338527BB05, $B731E7E488E657F434E4D5E25A688928FC7F2313, $78C985D29C4CB104A9E233E698538379335D4558, $722B4DF4848EC8C15302C7CF75B52C65BAE3843A"
FALSE,42,60,2014-10-21 16:17:09,2014-10-21 16:27:09,2014-10-21 16:27:35,25311.83,25312.83,0.35,415.05,415.15,875.54,25311.83,205.6499347121,202.2797874366,"$43D886BB08111FCBDBAF9487E50965338527BB05, $8DC2A6A4047AF434FCD343CDBA5B8CECC727AD04, $66FDD4CD9C048B42650C2617C7FB7A51095CB31D, $8E52195B040ADD42B9E02693CF03DAFEAD1B2C04"
FALSE,43,62,2014-10-21 16:27:10,2014-10-21 16:37:09,2014-10-21 16:37:26,16111.92,16112.81,0.39,262.82,262.9,490.97,16111.92,323.0484244528,317.7848789881,"$0B45375A2CE8065E8A649D52CC35F39D128745A8, $2576BFB02654F8C7EE7F8A4E2F746E4D03F67DD5, $ACD889D86E02EDDAB1AFD81F598C0936238DC6D0, $17A522BC05A0D115FC939B0271B8626AAFB1DDFF"
